name_x,identifier,name_y,unique_name,key_cricinfo,key_cricinfo_2
Tejas Baroka,c28e9f12,Tejas Baroka,Tejas Baroka,1082859.0,
SS Agarwal,b51f72a5,SS Agarwal,SS Agarwal,1079668.0,
DM Bravo,14b14cd8,DM Bravo,DM Bravo,277472.0,
NB Singh,b822e99c,NB Singh,NB Singh,853259.0,
AR Bawne,afe3355a,AR Bawne,AR Bawne,327123.0,
A Choudhary,18e6906e,A Choudhary,A Choudhary,527299.0,
MJ Henry,e84ac20c,MJ Henry,MJ Henry,506612.0,
Ankit Soni,f18ba07f,Ankit Soni,Ankit Soni,1083128.0,
Vishnu Vinod,0494fa6e,Vishnu Vinod,Vishnu Vinod,732293.0,
MA Wood,8d92a2c3,MA Wood,MA Wood,351588.0,
A Dananjaya,5b16a806,A Dananjaya,A Dananjaya,574178.0,
B Stanlake,6834d1f2,B Stanlake,B Stanlake,533042.0,
RB Richardson,410e2f12,RB Richardson,RB Richardson,52810.0,
CJ Dala,1cb14aa4,CJ Dala,CJ Dala,545467.0,
DJM Short,1a156c88,DJM Short,DJM Short,308798.0,
AD Hales,92aeac25,AD Hales,AD Hales,249866.0,
LE Plunkett,9a963804,LE Plunkett,LE Plunkett,19264.0,
JPR Scantlebury-Searles,99ed60f8,JPR Scantlebury-Searles,JPR Scantlebury-Searles,230554.0,
P Ray Barman,441c72ae,P Ray Barman,P Ray Barman,1159712.0,
P Chopra,8ac93ca2,P Chopra,P Chopra,500135.0,
S Midhun,ade90de7,S Midhun,S Midhun,1131619.0,
SC Kuggeleijn,fef92afc,SC Kuggeleijn,SC Kuggeleijn,539548.0,
SD Lad,9601c534,SD Lad,SD Lad,422342.0,
JL Denly,bdadf7da,JL Denly,JL Denly,12454.0,
RK Bhui,b63e358a,RK Bhui,RK Bhui,642531.0,
JP Behrendorff,4933f499,JP Behrendorff,JP Behrendorff,272477.0,
Milind Kumar,b4296080,Milind Kumar,Milind Kumar,451947.0,
GC Viljoen,a316d663,GC Viljoen,GC Viljoen,375126.0,
Y Prithvi Raj,cfa4bd2b,Y Prithvi Raj,Y Prithvi Raj,1121579.0,
AJ Turner,ff1e12a0,AJ Turner,AJ Turner,500268.0,
