name_x,identifier,name_y,unique_name,key_cricinfo,key_cricinfo_2,batting_style,bowling_style
Tejas Baroka,c28e9f12,Tejas Baroka,Tejas Baroka,1082859,,Right hand Bat,Legbreak Googly
SS Agarwal,b51f72a5,SS Agarwal,SS Agarwal,1079668,,Right hand Bat,Legbreak Googly
DM Bravo,14b14cd8,DM Bravo,DM Bravo,277472,,Left hand Bat,Right arm Medium
NB Singh,b822e99c,NB Singh,NB Singh,853259,,Right hand Bat,Right arm Medium
AR Bawne,afe3355a,AR Bawne,AR Bawne,327123,,Right hand Bat,Right arm Offbreak
A Choudhary,18e6906e,A Choudhary,A Choudhary,527299,,Right hand Bat,Left arm Medium
MJ Henry,e84ac20c,MJ Henry,MJ Henry,506612,,Right hand Bat,Right arm Fast medium
Ankit Soni,f18ba07f,Ankit Soni,Ankit Soni,1083128,,Right hand Bat,Legbreak
Vishnu Vinod,0494fa6e,Vishnu Vinod,Vishnu Vinod,732293,,Right hand Bat,
MA Wood,8d92a2c3,MA Wood,MA Wood,351588,,Right hand Bat,Right arm Fast
A Dananjaya,5b16a806,A Dananjaya,A Dananjaya,574178,,Left hand Bat,"Right arm Offbreak, Legbreak"
B Stanlake,6834d1f2,B Stanlake,B Stanlake,533042,,Left hand Bat,Right arm Fast
RB Richardson,410e2f12,RB Richardson,RB Richardson,52810,,Right hand Bat,Right arm Medium
CJ Dala,1cb14aa4,CJ Dala,CJ Dala,545467,,Right hand Bat,Right arm Medium
DJM Short,1a156c88,DJM Short,DJM Short,308798,,Left hand Bat,Left arm Wrist spin
AD Hales,92aeac25,AD Hales,AD Hales,249866,,Right hand Bat,Right arm Medium
LE Plunkett,9a963804,LE Plunkett,LE Plunkett,19264,,Right hand Bat,Right arm Fast
JPR Scantlebury-Searles,99ed60f8,JPR Scantlebury-Searles,JPR Scantlebury-Searles,230554,,Right hand Bat,Right arm Fast medium
P Ray Barman,441c72ae,P Ray Barman,P Ray Barman,1159712,,Right hand Bat,Legbreak Googly
P Chopra,8ac93ca2,P Chopra,P Chopra,500135,,Right hand Bat,Legbreak Googly
S Midhun,ade90de7,S Midhun,S Midhun,1131619,,Right hand Bat,Legbreak Googly
SC Kuggeleijn,fef92afc,SC Kuggeleijn,SC Kuggeleijn,539548,,Right hand Bat,Right arm Fast medium
SD Lad,9601c534,SD Lad,SD Lad,422342,,Right hand Bat,Right arm Offbreak
JL Denly,bdadf7da,JL Denly,JL Denly,12454,,Right hand Bat,Legbreak
RK Bhui,b63e358a,RK Bhui,RK Bhui,642531,,Right hand Bat,Legbreak Googly
JP Behrendorff,4933f499,JP Behrendorff,JP Behrendorff,272477,,Right hand Bat,Left arm Fast medium
Milind Kumar,b4296080,Milind Kumar,Milind Kumar,451947,,Right hand Bat,Right arm Offbreak
GC Viljoen,a316d663,GC Viljoen,GC Viljoen,375126,,Right hand Bat,Right arm Fast
Y Prithvi Raj,cfa4bd2b,Y Prithvi Raj,Y Prithvi Raj,1121579,,Left hand Bat,Left arm Medium
AJ Turner,ff1e12a0,AJ Turner,AJ Turner,500268,,Right hand Bat,Right arm Offbreak
S Lamichhane,b410bd3d,S Lamichhane,S Lamichhane,960361,,Right hand Bat,Legbreak Googly
H Klaasen,235c2bb6,H Klaasen,H Klaasen,436757,,Right hand Bat,Right arm Offbreak
IS Sodhi,641ac5ff,IS Sodhi,IS Sodhi,559066,,Right hand Bat,Legbreak
O Thomas,c6097d68,O Thomas,O Thomas,914567,,Left hand Bat,Right arm Fast
C de Grandhomme,94d7f855,C de Grandhomme,C de Grandhomme,55395,,Right hand Bat,Right arm Medium fast
K Khejroliya,fa2f1dde,K Khejroliya,K Khejroliya,1083033,,Left hand Bat,Left arm Medium fast
DR Shorey,faa7365d,DR Shorey,DR Shorey,590327,,Right hand Bat,Right arm Offbreak
HF Gurney,e412cb64,HF Gurney,HF Gurney,244639,,Right hand Bat,Left arm Fast medium
IJ Gould,a9dfdf6c,IJ Gould,IJ Gould,13414,,Left hand Bat,
CJ Green,19b9f399,CJ Green,CJ Green,787073,,Right hand Bat,Right arm Offbreak
JR Philippe,39086549,JR Philippe,JR Philippe,1124282,,Right hand Bat,
T Banton,25f7b7d6,T Banton,T Banton,877051,,Right hand Bat,
SS Cottrell,a1d053dd,SS Cottrell,SS Cottrell,495551,,Right hand Bat,Left arm Fast medium
AT Carey,69d03465,AT Carey,AT Carey,326434,,Left hand Bat,
JC Archer,5574750c,JC Archer,JC Archer,669855,,Right hand Bat,Right arm Fast
Monu Kumar,fb24e76c,Monu Kumar,Monu Kumar,694209,,Right hand Bat,Right arm Medium
I Udana,ac5ae4af,I Udana,I Udana,328026,,Right hand Bat,Left arm Medium fast
JL Pattinson,f752db61,JL Pattinson,JL Pattinson,272465,,Left hand Bat,Right arm Fast medium
KMA Paul,75224f22,KMA Paul,KMA Paul,677081,,Right hand Bat,Right arm Fast medium
P Dubey,ed5a5510,P Dubey,P Dubey,777515,,Right hand Bat,Legbreak Googly
BA Stokes,e087956b,BA Stokes,BA Stokes,311158,,Left hand Bat,Right arm Fast medium
Mujeeb Ur Rahman,7d92277a,Mujeeb Ur Rahman,Mujeeb Ur Rahman,974109,,Right hand Bat,Right arm Offbreak
CR Woakes,4c5d73db,CR Woakes,CR Woakes,247235,,Right hand Bat,Right arm Fast medium
JA Richardson,1ee08e9a,JA Richardson,JA Richardson,774223,,Right hand Bat,Right arm Fast
Jalaj S Saxena,249abedf,Jalaj S Saxena,Jalaj S Saxena,237199,,Right hand Bat,"Right arm Offbreak, Legbreak Googly"
LI Meriwala,d3611425,LI Meriwala,LI Meriwala,573930,,Left hand Bat,Left arm Fast medium
Virat Singh,26d76ad9,Virat Singh,Virat Singh,720465,,Left hand Bat,Legbreak Googly
L Ngidi,f834dcfc,L Ngidi,L Ngidi,542023,,Right hand Bat,Right arm Fast medium
DJ Malan,ad9c32a2,DJ Malan,DJ Malan,236489,,Left hand Bat,Legbreak
Mohammad Nabi,62af8546,Mohammad Nabi,Mohammad Nabi,25913,,Right hand Bat,Right arm Offbreak
Akash Singh,b483905d,Akash Singh,Akash Singh,1175458,,Right hand Bat,Left arm Medium fast
KM Asif,798cc28e,KM Asif,KM Asif,1083030,,Right hand Bat,Right arm Medium
S Sandeep Warrier,cdc6bdba,S Sandeep Warrier,S Sandeep Warrier,592735,,Right hand Bat,Right arm Medium
K Yadav,030f3089,K Yadav,K Yadav,1206495,,Left hand Bat,Left arm Fast medium
SM Curran,e94915e6,SM Curran,SM Curran,662973,,Left hand Bat,Left arm Medium fast
GD Phillips,9a46c4e5,GD Phillips,GD Phillips,823509,,Right hand Bat,Right arm Offbreak
KA Jamieson,68c56d09,KA Jamieson,KA Jamieson,625960,,Right hand Bat,Right arm Fast medium
JJ Roy,d1c36f5c,JJ Roy,JJ Roy,298438,,Right hand Bat,
AU Rashid,249d60c9,AU Rashid,AU Rashid,244497,,Right hand Bat,Legbreak
IC Porel,fdf7491e,IC Porel,IC Porel,967603,,Right hand Bat,Right arm Medium
TK Curran,e86754b2,TK Curran,TK Curran,550235,,Right hand Bat,Right arm Fast medium
GHS Garton,be869ccf,GHS Garton,GHS Garton,643433,,Left hand Bat,Left arm Fast
TU Deshpande,46a9bea1,TU Deshpande,TU Deshpande,822553,,Left hand Bat,Right arm Medium
RA Bawa,ba6b2f91,RA Bawa,RA Bawa,1292502,,Left hand Bat,Right arm Medium fast
Anmolpreet Singh,1399b39c,Anmolpreet Singh,Anmolpreet Singh,851261,,Right hand Bat,Right arm Offbreak
TL Seifert,4663bd23,TL Seifert,TL Seifert,625964,,Right hand Bat,
Abdul Samad,8e514b4c,Abdul Samad,Abdul Samad,1175485,,Right hand Bat,Legbreak
NA Saini,21d4e29b,Navdeep Saini,NA Saini,700167,,Right hand Bat,Right arm Fast
SE Rutherford,d014d5ac,SE Rutherford,SE Rutherford,914541,,Left hand Bat,Right arm Fast medium
AJ Tye,7c7d63a2,AJ Tye,AJ Tye,459508,,Right hand Bat,Right arm Medium fast
DJ Willey,7f048519,DJ Willey,DJ Willey,308251,,Left hand Bat,Left arm Fast medium
Rasikh Salam,b8527c3d,Rasikh Salam,Rasikh Salam,1161489,,Right hand Bat,Right arm Medium
DG Nalkande,cd8d2859,DG Nalkande,DG Nalkande,1111917,,Right hand Bat,Right arm Fast medium
Akash Deep,0a67aec0,Akash Deep,Akash Deep,1176959,,Right hand Bat,Right arm Fast medium
Basil Thampi,871e9faf,Basil Thampi,Basil Thampi,732291,,Right hand Bat,Right arm Fast medium
Aman Hakim Khan,378daa89,Aman Hakim Khan,Aman Hakim Khan,1254269,,Right hand Bat,Right arm Medium
FA Allen,b52ffbbd,FA Allen,FA Allen,670013,,Right hand Bat,Slow Left arm Orthodox
TS Mills,245c97cb,TS Mills,TS Mills,459257,,Right hand Bat,Left arm Fast
OF Smith,23cca426,OF Smith,OF Smith,820691,,Right hand Bat,Right arm Fast medium
P Simran Singh,9418198b,P Simran Singh,P Simran Singh,1161024,,Right hand Bat,
VG Arora,7c3b3b78,VG Arora,VG Arora,1209292,,Right hand Bat,Right arm Fast medium
A Manohar,0890552f,A Manohar,A Manohar,778963,,Right hand Bat,Legbreak Googly
Anuj Rawat,c8f5f961,Anuj Rawat,Anuj Rawat,1123073,,Left hand Bat,
DJ Mitchell,eade4650,DJ Mitchell,DJ Mitchell,381743,,Right hand Bat,Right arm Medium
DS Manohar,b35f3ac8,DS Manohar,DS Manohar,30900,,Left hand Bat,Right arm Medium
D Pretorius,11614d87,D Pretorius,D Pretorius,327830,,Right hand Bat,Right arm Medium fast
SS Prabhudessai,9385de2e,SS Prabhudessai,SS Prabhudessai,1083851,,Right hand Bat,Right arm Medium
B Sai Sudharsan,d5130a30,B Sai Sudharsan,B Sai Sudharsan,1151288,,Left hand Bat,Legbreak
AS Roy,e4cdf230,AS Roy,AS Roy,1079839,,Left hand Bat,Slow Left arm Orthodox
B Indrajith,ff1e68fa,B Indrajith,B Indrajith,477069,,Right hand Bat,Legbreak Googly
Harshit Rana,77b1aa15,Harshit Rana,Harshit Rana,1312645,,Right hand Bat,Right arm Medium fast
Shivam Mavi,c38d3503,Shivam Mavi,Shivam Mavi,1079848,,Right hand Bat,Right arm Fast medium
Kartik Tyagi,5d2eea49,Kartik Tyagi,Kartik Tyagi,1122918,,Right hand Bat,Right arm Fast
RV Patel,60500956,RV Patel,RV Patel,1201520,,Right hand Bat,Right arm Medium fast
SP Jackson,acc1aeda,SP Jackson,SP Jackson,237696,,Right hand Bat,
KS Sharma,39ed0d2f,KS Sharma,KS Sharma,1246518,,Right hand Bat,Right arm Offbreak
C Sakariya,2cdce1be,C Sakariya,C Sakariya,1131754,,Left hand Bat,Left arm Medium fast
HE van der Dussen,9.95E+265,HE van der Dussen,HE van der Dussen,337790,,Right hand Bat,Legbreak
KL Nagarkoti,b4f5c2d9,KL Nagarkoti,KL Nagarkoti,1070188,,Right hand Bat,Right arm Fast
KR Sen,2e78f685,KR Sen,KR Sen,1163695,,Right hand Bat,Right arm Fast
KS Bharat,44a89551,KS Bharat,KS Bharat,529436,,Right hand Bat,
A Totre,b1d7d7bc,A Totre,A Totre,961323,,,
Chirra Ravikanthreddy,8b680f55,Chirra Ravikanthreddy,Chirra Ravikanthreddy,391442,,,
K Kartikeya,f6d8a7ab,K Kartikeya,K Kartikeya,1159843,,Right hand Bat,"Slow Left arm Orthodox, Left arm Wrist spin"
M Theekshana,f24c6701,M Theekshana,M Theekshana,1138316,,Right hand Bat,Right arm Offbreak
Shakti Singh,eb90d319,Shakti Singh,Shakti Singh,33922,,Right hand Bat,Right arm Medium
Vinod Seshan,a3357a27,Vinod Seshan,Vinod Seshan,723245,,,
M Jansen,81c36ee9,M Jansen,M Jansen,696401,,Right hand Bat,Left arm Medium fast
MV Saidharshan Kumar,54b6007b,MV Saidharshan Kumar,MV Saidharshan Kumar,777551,,,
Shashank Singh,26989d80,Shashank Singh,Shashank Singh,377534,,Right hand Bat,"Right arm Medium, Right arm Offbreak"
V Narayan Kutty,4bacee3d,V Narayan Kutty,V Narayan Kutty,31899,,Right hand Bat,
S Dube,a4e37e47,S Dube,S Dube,714451,,Left hand Bat,Right arm Medium
