"m","accuracy","avg_class_accuracy","f1"
2,0.416703687250111,0.196987468719973,0.17566922302083
3,0.412305641936917,0.196490103458311,0.177343974291109
4,0.40719680142159,0.194045071674916,0.175291417746008
5,0.406086183918259,0.19457618225883,0.176852543248003
6,0.405775211017326,0.194171862933392,0.176452978073366
7,0.404442470013327,0.194440321633483,0.177626761830004
8,0.403198578409596,0.194077960082056,0.177601260280978
9,0.4001332741004,0.1929119876262,0.176889974725509
10,0.400488671701466,0.192723470891649,0.176347032708978
11,0.401377165704132,0.193361532190854,0.177190225216821
12,0.402087960906264,0.193716427022863,0.177536554887175
13,0.400799644602399,0.193028442955023,0.176788991254897
14,0.400399822301199,0.193214809767071,0.177385261916084
15,0.400488671701466,0.192881687391894,0.176730915879471
16,0.399555752998667,0.193172448573134,0.177661088914184
17,NA,NA,NA
18,NA,NA,NA
19,NA,NA,NA
