"m","accuracy","avg_class_accuracy","f1"
2,NA,NA,NA
3,NA,NA,NA
4,NA,NA,NA
5,NA,NA,NA
6,NA,NA,NA
7,NA,NA,NA
8,NA,NA,NA
9,NA,NA,NA
10,NA,NA,NA
11,0.336339404709018,0.213635502180725,0.211872037141846
12,0.338693913816082,0.215119990679686,0.213370812061367
13,0.336916925810751,0.214282112598296,0.212573267694566
14,0.335095513105287,0.21230454097439,0.21075084285158
15,0.338071968014216,0.214762192500298,0.213246239576909
16,NA,NA,NA
17,0.336561528209685,0.213457977591377,0.211805300833021
18,0.338027543314083,0.215839845306399,0.21421632164368
19,0.336783651710351,0.213100170539986,0.211606553224339
